step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5498350858688354,-0.0,0.016671950000000102,-1.0,0.0,-1.1573559565231744,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.7060441970825195,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.407065749168396,0.595661997795105,0.6183763146400452,1,-0.009092603003111566,1.522224058775e-05,-0.592934250831604,-0.0,0.016671950000000102,-1.0,0.0,-1.1702857060120049,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5863363742828369,0.879928469657898,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9934021234512329,-0.0,0.016671950000000102,-1.0,0.0,-1.2904260677978936,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.46580952405929565,0.0,0.2657802999019623,1,-0.009092603003111566,1.522224058775e-05,-1.0521458983421326,-0.0,0.016671950000000102,-1.0,0.0,-1.3080492002651636,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8328174948692322,0.06753385066986084,0.2592164874076843,1,-0.009092603003111566,1.522224058775e-05,-1.2986270189285278,-0.0,0.016671950000000102,-1.0,0.0,-1.381993536441082,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.8328174948692322,-0.0,0.016671950000000102,-1.0,0.0,-1.5422506792232933,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.21433860063552856,0.0,0.17357730865478516,1,-0.009092603003111566,1.522224058775e-05,-1.2143386006355286,-0.0,0.016671950000000102,-1.0,0.0,-1.3567070109531822,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.13334088027477264,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3476794809103012,-0.0,0.016671950000000102,-1.0,0.0,-1.096709275035614,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.39540693163871765,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.262066051363945,-0.0,0.016671950000000102,-1.0,0.0,-1.0710252461717071,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6045930683612823,-0.0,0.016671950000000102,-1.0,0.0,-1.1737833512709084,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.54923015832901,0.0,0.9600708484649658,1,-0.009092603003111566,1.522224058775e-05,-1.54923015832901,-0.0,0.016671950000000102,-1.0,0.0,-1.4571744782612266,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.18319475650787354,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3660354018211365,-0.0,0.016671950000000102,-1.0,0.0,-1.1022160513088646,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4344136714935303,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.25121891498565674,-0.0,0.016671950000000102,-1.0,0.0,-1.0677711052582208,
