step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.5051101446151733,-1.0,0.0,-1.451533043384552,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.1102602481842041,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8167762756347656,1.0,0.0,1,0.0,0.0,0.0,-0.18322372436523438,-1.0,0.0,-1.0549671173095703,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.83156418800354,1.0,0.582263171672821,1,0.0,0.0,0.0,-1.6483404636383057,-1.0,0.0,-1.4945021390914917,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.14230841398239136,0.9022393822669983,0.0,1,0.0,0.0,0.0,-0.9738726019859314,-1.0,0.0,-1.2921617805957795,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.378620445728302,1.0,1.0,1,0.0,0.0,0.0,-0.5209288597106934,-1.0,0.0,-1.156278657913208,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.44035792350769043,0.8646965622901917,0.6624516844749451,1,0.0,0.0,0.0,-0.8189783692359924,-1.0,0.0,-1.2456935107707978,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.046863920986652374,1.0,0.0,1,0.0,0.0,0.0,-0.39349400252103806,-1.0,0.0,-1.1180482007563115,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5776888132095337,1.0,0.0,1,0.0,0.0,0.0,-0.6245527341961861,-1.0,0.0,-1.1873658202588557,
49,0.0139644,0.0113104,6.02404e-06,0.333334,6351.65,0.000488281,-0.9424810409545898,0.8531349897384644,0.0,1,0.013964357938694535,0.0,0.0,-1.5201698541641235,-1.0,0.0,-1.4420865983105424,
50,0.177685,0.0198542,-5.59648e-05,0.333334,6351.65,0.00146484,1.0,1.0,0.0,1,0.17768002766899865,0.0,0.0,-1.9424810409545898,-1.0,0.0,-1.4050642846173782,
51,0.198299,0.00184129,-9.22044e-05,0.333334,6351.65,0.00195313,0.5427448749542236,0.0,0.0,1,0.19828985713692068,0.0,0.0,-0.45725512504577637,-1.0,0.0,-0.9388866803768122,
52,0.797327,0.0519387,-0.000236686,0.333334,6351.66,0.00439453,0.30965498089790344,0.8211833238601685,0.0,1,0.7972326195984861,0.0,0.0,-0.2330898940563202,-1.0,0.0,-0.2726943486184099,
53,1.61109,0.0560768,-0.000358756,0.333345,6351.66,0.0112305,0.10982257127761841,1.0,0.0,1,1.610800902225812,0.0,0.0,-0.19983240962028503,-1.0,0.0,0.5508511793397266,
54,2.31954,0.142966,-0.000631507,0.333426,6351.67,0.0224609,0.4912117123603821,1.0,0.0,1,2.3188071346577646,0.0,0.0,-0.38138914108276367,-1.0,0.0,1.2043903923329355,
