step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
61,1.60513,0.215619,-0.00641888,0.334698,6351.73,0.0771484,1.0,0.0,0.0,1,1.5999453997625555,0.0,0.0,-0.0,-1.0,0.0,0.5999453997625555,
62,1.44575,0.223408,-0.00734442,0.334901,6351.74,0.0854492,1.0,0.0,0.0,1,1.4404019580542267,0.0,0.0,-0.0,-1.0,0.0,0.44040195805422666,
63,1.59391,0.25044,-0.00844115,0.335104,6351.75,0.0942383,0.6558361053466797,0.0,0.0,1,1.5871260780824867,0.0,0.0,-0.3441638946533203,-1.0,0.0,0.48387690968649055,
64,1.45618,0.182785,-0.0092594,0.335308,6351.75,0.102539,0.5143599510192871,0.0,0.0,1,1.449375996354388,0.0,0.0,-0.14147615432739258,-1.0,0.0,0.40693315005617015,
65,1.6127,0.142234,-0.00992697,0.335481,6351.76,0.11084,-0.035759925842285156,0.0,0.0,1,1.6046160583153617,0.0,0.0,-0.5501198768615723,-1.0,0.0,0.43958009525689,
66,1.46595,0.0724071,-0.0102717,0.335583,6351.77,0.119141,1.0,0.0,0.0,1,1.4583438991696929,0.0,0.0,-1.0357599258422852,-1.0,0.0,0.1476159214170074,
67,1.60618,0.107288,-0.0106913,0.335684,6351.78,0.12793,0.32521694898605347,0.0,0.0,1,1.5975022920111868,0.0,0.0,-0.6747830510139465,-1.0,0.0,0.39506737670700276,
68,1.45867,0.0833471,-0.0110399,0.335786,6351.79,0.13623,-0.8806737661361694,0.0,0.0,1,1.450529488086745,0.0,0.0,-1.205890715122223,-1.0,0.0,0.08876227355007815,
69,1.61576,0.0259439,-0.0112726,0.335878,6351.8,0.14502,-0.4672600030899048,0.0,0.0,1,1.6065506273371666,0.0,0.0,-0.41341376304626465,-1.0,0.0,0.4825264984232871,
70,1.4581,-0.0546086,-0.011069,0.335878,6351.8,0.15332,0.5145379900932312,0.0,0.0,1,1.449940986032252,0.0,0.0,-0.981797993183136,-1.0,0.0,0.1554015880773112,
71,1.60507,-0.0243179,-0.0109193,0.335878,6351.81,0.161621,-0.3286178708076477,0.0,0.0,1,1.5962113675227692,0.0,0.0,-0.8431558609008789,-1.0,0.0,0.34326460925250557,
