step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_time,r_terminal,reward_total,terminal_reason
61,5.67003,0.164486,-0.00200575,0.333792,6351.81,0.160156,-0.5071927309036255,0.0,0.0,1,5.664332267121211,0.0,0.0,-1.0,0.0,4.664332267121211,
62,6.51799,-0.110424,-0.00160759,0.333813,6351.85,0.194336,-1.0,1.0,0.0,1,6.512742452116968,0.0,0.0,-1.0,0.0,5.512742452116968,
63,6.90897,-0.102097,-0.00101155,0.333711,6351.88,0.231934,-0.08514810353517532,0.3370972275733948,0.0,1,6.905472081550039,0.0,0.0,-1.0,0.0,5.905472081550039,
64,7.11892,-0.155072,-0.000404533,0.333609,6351.92,0.271484,-1.0,1.0,0.29456937313079834,1,7.117479498512336,0.0,0.0,-1.0,0.0,6.117479498512336,
65,7.77621,-0.184516,0.000601117,0.333416,6351.96,0.3125,0.7330976128578186,1.0,0.0,1,7.7738713891932445,0.0,0.0,-1.0,0.0,6.7738713891932445,
66,8.16782,0.154472,0.000280205,0.333406,6352.01,0.356934,0.15339483320713043,0.2667558193206787,0.0,1,8.16667534736588,0.0,0.0,-1.0,0.0,7.16667534736588,
67,8.81902,-0.0819935,0.000425641,0.333457,6352.06,0.403809,-0.4285097122192383,0.7688101530075073,0.0,1,8.817142332938698,0.0,0.0,-1.0,0.0,7.8171423329386975,
68,7.6745,-0.168127,0.00133592,0.333274,6352.1,0.450195,-1.0,0.0,0.6153085231781006,1,7.6693668942338595,0.0,0.0,-1.0,0.0,6.6693668942338595,
69,7.4144,-0.144948,0.00190288,0.333141,6352.14,0.491211,0.09445564448833466,1.0,0.24079155921936035,1,7.407332223930951,0.0,0.0,-1.0,0.0,6.407332223930951,
70,8.00772,-0.421449,0.00372392,0.332877,6352.19,0.533691,-1.0,1.0,0.0,1,7.992754456344479,0.0,0.0,-1.0,0.0,6.992754456344479,
71,8.83206,-0.443888,0.00655586,0.33246,6352.23,0.580566,-0.408978670835495,0.8033837080001831,0.0,1,8.802919535745245,0.0,0.0,-1.0,0.0,7.802919535745245,
72,8.84143,-0.342936,0.00849659,0.332002,6352.29,0.635254,0.062236182391643524,1.0,0.6057446002960205,1,8.803550310549406,0.0,0.0,-1.0,0.0,7.803550310549406,
73,9.06293,-0.352177,0.00959856,0.331667,6352.34,0.684082,-0.46627625823020935,1.0,0.0,1,9.01901763786512,0.0,0.0,-1.0,0.0,8.01901763786512,
74,9.8674,-0.717698,0.0131419,0.331056,6352.39,0.736816,-1.0,1.0,0.0,1,9.801711589544086,0.0,0.0,-1.0,0.0,8.801711589544086,
75,10.0183,-1.32109,0.0187123,0.329947,6352.44,0.79248,-1.0,0.0,0.0,1,9.922818848894932,0.0,0.0,-1.0,0.0,8.922818848894932,
76,10.6838,-1.23241,0.0243428,0.328513,6352.5,0.849609,-0.6094660758972168,1.0,0.0,1,10.55061073540696,0.0,0.0,-1.0,0.0,9.55061073540696,
77,10.3614,-0.778258,0.0279434,0.327323,6352.56,0.908691,0.2729463279247284,0.0,0.20087206363677979,1,10.21260746519225,0.0,0.0,-1.0,0.0,9.21260746519225,
78,11.005,-0.294137,0.0289386,0.326581,6352.62,0.967773,0.9462548494338989,1.0,0.0,1,10.841179871377712,0.0,0.0,-1.0,0.0,9.841179871377712,
79,11.6074,-0.388311,0.0295628,0.326011,6352.68,1.03076,-0.9056757688522339,0.4775182604789734,0.0,1,11.430779540651157,0.0,0.0,-1.0,0.0,10.430779540651157,
80,11.9624,-0.167375,0.03065,0.32536,6352.75,1.09619,0.4941047728061676,0.38728582859039307,0.0,1,11.77348648773637,0.0,0.0,-1.0,0.0,10.77348648773637,
81,12.6996,0.322628,0.0290878,0.325116,6352.82,1.16504,0.4450947046279907,1.0,0.0,1,12.509552144810273,0.0,0.0,-1.0,0.0,11.509552144810273,
82,12.7714,0.979132,0.0250362,0.325421,6352.89,1.23633,0.6256828308105469,0.0,0.0,1,12.607540618991512,0.0,0.0,-1.0,0.0,11.607540618991512,
83,13.5168,0.824259,0.020829,0.326031,6352.96,1.30908,-0.33793365955352783,1.0,0.0,1,13.373107457822478,0.0,0.0,-1.0,0.0,12.373107457822478,
84,13.8198,0.255246,0.0194443,0.326276,6353.04,1.38574,-0.9915364980697632,0.0,0.0,1,13.68283787941718,0.0,0.0,-1.0,0.0,12.68283787941718,
85,13.9304,0.338281,0.0186213,0.326215,6353.11,1.46289,1.0,0.14676576852798462,0.0,1,13.798291283903518,0.0,0.0,-1.0,0.0,12.798291283903518,
86,13.8474,0.952415,0.0150107,0.326601,6353.19,1.54004,0.9474384784698486,0.0,0.0,1,13.741914292779809,0.0,0.0,-1.0,0.0,12.741914292779809,
87,14.525,0.860722,0.0105417,0.327354,6353.27,1.61914,-0.6856252551078796,1.0,0.0,1,14.447635266160441,0.0,0.0,-1.0,0.0,13.447635266160441,
88,15.2701,1.05176,0.00652105,0.328066,6353.35,1.70215,0.5398805141448975,0.6218224763870239,0.0,1,15.219987137639015,0.0,0.0,-1.0,0.0,14.219987137639015,
89,15.3388,0.81407,0.00244791,0.328931,6353.44,1.78711,0.15260763466358185,0.0,0.0,1,15.31998006075406,0.0,0.0,-1.0,0.0,14.31998006075406,
90,14.3999,0.534588,0.000352208,0.329501,6353.52,1.87012,-0.36221030354499817,0.5607818961143494,1.0,1,14.397363226905622,0.0,0.0,-1.0,0.0,13.397363226905622,
91,14.174,0.415322,-0.00113839,0.329928,6353.6,1.94922,1.0,1.0,0.0,1,14.165923047544927,0.0,0.0,-1.0,0.0,13.165923047544927,
92,14.8533,0.774832,-0.00435704,0.330508,6353.68,2.02979,0.9790129065513611,0.8549865484237671,0.0,1,14.82080090546707,0.0,0.0,-1.0,0.0,13.82080090546707,
93,15.6967,0.603533,-0.00895995,0.331291,6353.77,2.11475,-1.0,1.0,0.0,1,15.625750050466536,0.0,0.0,-1.0,0.0,14.625750050466536,
94,16.5968,0.178465,-0.00979346,0.331779,6353.86,2.20459,-0.12397193908691406,1.0,0.0,1,16.5147353420493,0.0,0.0,-1.0,0.0,15.514735342049299,
95,17.5341,0.298148,-0.00934046,0.332115,6353.95,2.29932,0.8789535164833069,1.0,0.0,1,17.451448042223166,0.0,0.0,-1.0,0.0,16.451448042223166,
96,17.9393,0.758553,-0.0122706,0.332787,6354.05,2.39893,0.608456015586853,0.0,0.0,1,17.827889252729985,0.0,0.0,-1.0,0.0,16.827889252729985,
97,18.6435,0.854703,-0.0169665,0.333977,6354.16,2.51025,-0.889519214630127,0.7772407531738281,0.0,1,18.48266680207157,0.0,0.0,-1.0,0.0,17.48266680207157,
98,18.7174,0.261257,-0.0184199,0.334791,6354.27,2.61426,-0.6011664271354675,0.0,0.0,1,18.54184818098008,0.0,0.0,-1.0,0.0,17.54184818098008,
99,19.2532,-0.325967,-0.0166213,0.335015,6354.37,2.71973,-0.2302258461713791,0.7075417041778564,0.0,1,19.0905413041765,0.0,0.0,-1.0,0.0,18.0905413041765,
100,19.4737,-0.276057,-0.0150811,0.334974,6354.48,2.82764,-0.07039394974708557,0.16238152980804443,0.0,1,19.324648654622845,0.0,0.0,-1.0,0.0,18.324648654622845,
101,19.4673,0.22781,-0.015669,0.335208,6354.59,2.93604,1.0,0.0,0.0,1,19.312399945875526,0.0,0.0,-1.0,0.0,18.312399945875526,
102,20.1053,0.162156,-0.0174853,0.335778,6354.7,3.04541,-1.0,1.0,0.0,1,19.92646197968762,0.0,0.0,-1.0,0.0,18.92646197968762,
103,20.3894,-0.477799,-0.0155112,0.335951,6354.81,3.15869,-0.6338122487068176,0.7947401404380798,0.0,2,20.228821541932046,0.0,0.0,-1.0,0.0,19.228821541932046,
104,20.3627,-0.583034,-0.0120904,0.335605,6354.92,3.27197,0.9037322998046875,1.0,0.0,2,20.238118136004598,0.0,0.0,-1.0,0.0,19.238118136004598,
105,20.371,0.103946,-0.0122077,0.335605,6355.04,3.38525,1.0,0.9760007262229919,0.0,2,20.245143654795967,0.0,0.0,-1.0,0.0,19.245143654795967,
106,20.58,0.16069,-0.0138461,0.336073,6355.15,3.49854,-0.17639845609664917,1.0,0.1563730239868164,2,20.43555547288424,0.0,0.0,-1.0,0.0,19.43555547288424,
107,21.1683,0.34484,-0.0147325,0.336521,6355.27,3.61475,0.31091755628585815,1.0,0.0,2,21.01007743902012,0.0,0.0,-1.0,0.0,20.01007743902012,
108,21.7562,0.945821,-0.0192134,0.337467,6355.39,3.73438,1.0,1.0,0.0,2,21.5431919937987,0.0,0.0,-1.0,0.0,20.5431919937987,
109,22.2831,1.55798,-0.0268566,0.339115,6355.51,3.85645,1.0,1.0,0.0,2,21.97587615721284,0.0,0.0,-1.0,0.0,20.97587615721284,
110,22.8431,1.94796,-0.0367276,0.341444,6355.63,3.98145,-0.17012961208820343,1.0,0.0,2,22.408303195865496,0.0,0.0,-1.0,0.0,21.408303195865496,
111,23.6107,1.58721,-0.0445371,0.343903,0.103058,4.10303,-0.5337512493133545,1.0,0.0,2,23.06168507648135,0.0,0.0,-1.0,0.0,22.06168507648135,
112,24.3369,0.903705,-0.0481615,0.346069,0.236023,4.23599,-0.24336355924606323,1.0,0.0,2,23.722856098956104,0.0,0.0,-1.0,0.0,22.722856098956104,
113,25.01,0.358065,-0.0488166,0.347707,0.372955,4.37292,-0.003987081348896027,1.0,0.0,2,24.369996592031917,0.0,0.0,-1.0,0.0,23.369996592031917,
114,25.6595,-0.187743,-0.0475734,0.348918,0.513733,4.5137,-0.5480133295059204,1.0,0.0,2,25.020344195590795,0.0,0.0,-1.0,0.0,24.020344195590795,
115,26.1666,-0.386024,-0.0448304,0.34967,0.657806,4.65778,1.0,0.7231334447860718,0.0,2,25.553976920504976,0.0,0.0,-1.0,0.0,24.553976920504976,
116,26.7802,-0.54083,-0.0428258,0.350372,0.804932,4.8049,-0.22075419127941132,1.0,0.0,2,26.18237917777269,0.0,0.0,-1.0,0.0,25.18237917777269,
117,27.4593,-0.281249,-0.0408624,0.350983,0.95575,4.95572,0.3587758243083954,1.0,0.0,2,26.87550796693855,0.0,0.0,-1.0,0.0,25.87550796693855,
118,28.0763,0.354982,-0.042949,0.352102,1.11002,5.10999,1.0,0.9916284084320068,0.0,2,27.44766981506062,0.0,0.0,-1.0,0.0,26.44766981506062,
119,27.9205,1.06475,-0.0484227,0.353963,1.26556,5.26553,0.992438793182373,0.0,0.07144856452941895,2,27.21204413403735,0.0,0.0,-1.0,0.0,26.21204413403735,
120,27.8554,1.55198,-0.0564486,0.356567,1.41986,5.41983,-0.516120970249176,0.5523514747619629,0.09474754333496094,2,27.025250238243054,0.0,0.0,-1.0,0.0,26.025250238243054,
121,28.4525,1.20794,-0.0629408,0.359456,1.57541,5.57538,-0.4390236437320709,1.0,0.0,2,27.501340212244774,0.0,0.0,-1.0,0.0,26.501340212244774,
122,29.1574,0.48507,-0.0645988,0.361928,1.73508,5.73505,-1.0,1.0,0.0,2,28.15547250289866,0.0,0.0,-1.0,0.0,27.15547250289866,
123,29.6986,0.186179,-0.0636973,0.363881,1.89841,5.89838,1.0,0.7435829043388367,0.0,2,28.69315078684943,0.0,0.0,-1.0,0.0,27.69315078684943,
124,29.2935,-0.0409416,-0.0638634,0.365743,2.06216,6.06213,-0.3698040246963501,0.0,0.19164252281188965,2,28.299027488686082,0.0,0.0,-1.0,0.0,27.299027488686082,
125,29.481,-0.646706,-0.0603979,0.367106,2.22488,6.22485,-0.873262345790863,1.0,0.0823831558227539,2,28.53749032303428,0.0,0.0,-1.0,0.0,27.53749032303428,
126,29.9224,-1.27876,-0.0528391,0.367767,2.38995,6.38992,-1.0,1.0,0.0,2,29.090469953642376,0.0,0.0,-1.0,0.0,28.090469953642376,
127,30.3414,-1.85356,-0.0418947,0.367625,2.55777,6.55774,-0.845964789390564,0.835415780544281,0.0,2,29.679390779969363,0.0,0.0,-1.0,0.0,28.679390779969363,
128,30.1213,-1.96803,-0.030877,0.366821,2.72635,6.72632,0.600367546081543,0.7867159843444824,0.3905761241912842,2,29.64198867924568,0.0,0.0,-1.0,0.0,28.64198867924568,
129,30.0686,-1.50902,-0.0238431,0.365957,2.89325,6.89322,-0.08513426780700684,0.34091681241989136,0.0,2,29.701623149114177,0.0,0.0,-1.0,0.0,28.701623149114177,
130,30.458,-1.42815,-0.0186723,0.365285,3.06155,7.06152,-0.36623427271842957,0.6701499223709106,0.0,2,30.168346557463575,0.0,0.0,-1.0,0.0,29.168346557463575,
131,30.9724,-1.78014,-0.0104876,0.364248,3.23233,7.2323,-1.0,1.0,0.0,2,30.80828659844685,0.0,0.0,-1.0,0.0,29.80828659844685,
132,31.5994,-1.86036,0.000117673,0.36264,3.40622,7.40619,-0.19483855366706848,1.0,0.0,2,31.597540583128772,0.0,0.0,-1.0,0.0,30.597540583128772,
133,32.3258,-1.27136,0.00679347,0.361094,3.58401,7.58398,0.21992072463035583,0.9062951803207397,0.0,2,32.21525273339783,0.0,0.0,-1.0,0.0,31.215252733397833,
134,32.4092,-0.475272,0.00865072,0.360077,3.76413,7.7641,1.0,0.0,0.0,2,32.26780762811976,0.0,0.0,-1.0,0.0,31.267807628119762,
135,32.866,0.255013,0.00641828,0.359782,3.94528,7.94525,0.8439353704452515,1.0,0.0,2,32.759852184990486,0.0,0.0,-1.0,0.0,31.759852184990486,
136,31.9806,0.503347,0.0021945,0.360077,4.12607,8.12604,0.19686755537986755,0.5656008124351501,1.0,2,31.945432308275603,0.0,0.0,-1.0,0.0,30.945432308275603,
137,31.1055,0.4609,-0.000517428,0.360484,4.30084,8.30081,-0.3634730875492096,0.0,0.0,2,31.09744840806744,0.0,0.0,-1.0,0.0,30.09744840806744,
138,30.41,0.114975,-0.00159703,0.36083,4.47137,8.47134,-0.31615668535232544,0.0,0.0,2,30.385678388754688,0.0,0.0,-1.0,0.0,29.385678388754688,
139,30.8234,-0.137539,0.000841441,0.360708,4.64111,8.64108,0.4397822916507721,1.0,0.0,2,30.81042105343382,0.0,0.0,-1.0,0.0,29.81042105343382,
140,31.4899,0.424314,-0.000702492,0.36083,4.81442,8.81439,0.8953523635864258,1.0,0.0,2,31.47883152944039,0.0,0.0,-1.0,0.0,30.47883152944039,
141,31.5663,1.15614,-0.00694274,0.361684,4.98996,8.98993,0.7019517421722412,0.0324673056602478,0.0,2,31.455961802837777,0.0,0.0,-1.0,0.0,30.455961802837777,
142,31.7693,1.58801,-0.0156203,0.363352,5.16571,9.16568,-0.10730792582035065,0.42279165983200073,0.0,2,31.517311414692173,0.0,0.0,-1.0,0.0,30.517311414692173,
143,32.1033,1.09864,-0.0210506,0.365184,5.34305,9.34302,-0.44442734122276306,1.0,0.0,2,31.758315422146808,0.0,0.0,-1.0,0.0,30.758315422146808,
144,32.6798,0.351019,-0.0216991,0.366465,5.52286,9.52283,0.4485383629798889,0.5007872581481934,0.0,2,32.31757334408277,0.0,0.0,-1.0,0.0,31.317573344082767,
