step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
59,6.15692,0.854325,-0.00638611,0.336315,3598.59,0.140381,0.0,1.0,1.0,0.0,1,6.137135202871978,-0.010353322749,-0.0,-0.0,-1.0,0.0,0.0,5.126781880122977,
60,6.94741,1.02604,-0.0109871,0.337346,3598.63,0.180664,0.0,1.0,1.0,0.0,1,6.908825494838315,-0.011718404869299998,-0.0,-0.0,-1.0,0.0,0.0,5.8971070899690154,
61,7.69593,1.121,-0.0157045,0.338429,3598.67,0.221436,0.0,0.34017807245254517,1.0,0.0,1,7.634553108447005,-0.013022629469849998,-0.6598219275474548,-0.0,-1.0,0.0,0.0,6.423583900712918,
62,8.54225,0.985761,-0.0201395,0.339544,3598.71,0.266357,0.0,1.0,1.0,0.0,1,8.454505185333842,-0.01450234867,-0.6598219275474548,-0.0,-1.0,0.0,0.0,7.2420562583996055,
63,9.27867,1.15829,-0.0247319,0.34069,3598.76,0.315918,0.0,0.11693775653839111,1.0,0.0,1,9.161104544510193,-0.0158057504115,-0.8830622434616089,-0.0,-1.0,0.0,0.0,7.88038012106021,
64,10.0722,1.12377,-0.0301302,0.342028,3598.82,0.369629,0.0,0.3540711998939514,1.0,0.0,1,9.91591268601617,-0.017224872108,-0.2371334433555603,-0.0,-1.0,0.0,0.0,8.827547780901503,
65,10.846,0.780409,-0.0334657,0.343215,3598.88,0.427734,0.0,0.4142533838748932,1.0,0.0,1,10.658476443970585,-0.018612549449999998,-0.06018218398094177,-0.0,-1.0,0.0,0.0,9.621809239326303,
66,11.6133,0.741677,-0.0363377,0.344267,3598.94,0.48999,0.0,0.31864020228385925,1.0,0.0,1,11.39467970419075,-0.019990379755500002,-0.09561318159103394,-0.0,-1.0,0.0,0.0,10.34600536995794,
67,12.4394,0.644553,-0.0389589,0.345312,3599.0,0.556885,0.0,0.7575441002845764,1.0,0.0,1,12.18770958075749,-0.021477370463999997,-0.43890389800071716,-0.0,-1.0,0.0,0.0,11.034561040893275,
68,13.2041,0.905827,-0.0427435,0.346496,3599.08,0.628174,0.0,0.6680220365524292,1.0,0.0,1,12.909931042728925,-0.022875839168000005,-0.08952206373214722,-0.0,-1.0,0.0,0.0,11.86019858444128,
69,13.8994,1.20917,-0.0486611,0.348073,3599.15,0.703369,0.0,0.44697779417037964,1.0,0.0,1,13.54490043433507,-0.024190029281000003,-0.22104424238204956,-0.0,-1.0,0.0,0.0,12.454397132339455,
